Date,Temp_C,T_max_C,T_min_C,Humidity_pct,Wind_Speed_kmh,Solar_Rad_Wm2
03-12-2012,24.8677,28.6322,21.594,82.7993,9.3031,132.5983
04-12-2012,25.666,29.9831,22.3066,78.3216,7.729,203.4325
05-12-2012,26.4586,30.0998,22.9221,79.006,10.2614,199.429
06-12-2012,26.3814,29.9791,23.7806,80.8856,12.0114,187.1531
07-12-2012,26.1855,30.5244,22.5074,75.048,9.8369,216.5755
08-12-2012,25.6152,29.7988,21.9029,78.7682,7.8895,210.395
09-12-2012,24.6997,30.2935,19.2506,75.9593,6.7422,233.4616
10-12-2012,24.127,29.7761,19.0643,74.8271,6.3833,234.8347
11-12-2012,24.5345,29.5798,19.4337,74.3243,6.2852,204.6779
12-12-2012,24.9375,30.4351,20.0979,73.248,5.5648,223.7746
13-12-2012,25.158,30.5794,19.8163,71.2246,7.5259,236.9892
14-12-2012,25.5774,30.3534,21.4384,68.1459,9.8561,220.1184
15-12-2012,25.7162,29.8213,22.2886,68.1333,13.9907,184.4078
16-12-2012,25.9965,29.2461,22.566,63.5317,15.8112,186.0253
17-12-2012,26.213,29.7829,23.5514,64.0163,17.5046,158.2987
18-12-2012,25.8999,29.3091,23.3814,63.424,14.9775,171.3473
19-12-2012,25.9064,28.6909,23.2131,66.6821,13.408,114.0408
20-12-2012,25.6251,29.1634,22.7904,70.3085,12.4549,155.422
21-12-2012,25.5035,29.397,22.3534,68.8358,12.4212,158.4333
22-12-2012,25.6676,29.8076,21.8458,62.7471,13.3629,220.6367
23-12-2012,25.3398,29.6753,22.1219,65.5156,13.2674,182.3858
24-12-2012,25.7039,29.6612,21.8029,66.2442,12.8189,164.1059
25-12-2012,25.9264,28.6725,22.9504,70.4717,13.9614,121.2974
26-12-2012,25.9624,28.8507,23.6038,70.7383,15.3778,119.6268
27-12-2012,26.0618,28.8048,23.5972,69.3528,16.3253,109.9746
28-12-2012,23.2575,24.5108,22.454,83.8596,14.0614,69.6945
29-12-2012,24.8569,27.3544,22.6202,87.2909,8.907,100.2541
30-12-2012,26.1086,29.8965,23.2629,83.906,8.7693,183.1434
31-12-2012,26.0516,29.7508,23.1827,81.6352,8.8636,206.0233
01-01-2013,25.5502,29.6705,22.095,78.4529,10.0079,180.7107
02-01-2013,24.7431,29.8622,20.3171,74.0431,8.3481,236.0595
03-01-2013,25.4484,30.2981,20.2729,72.5832,7.4033,226.6701
04-01-2013,25.8938,30.5642,22.8942,73.611,6.3481,173.0583
05-01-2013,26.0218,30.1371,22.6044,74.5646,8.7794,182.3022
06-01-2013,26.145,30.4718,22.7678,73.0404,10.4425,174.9388
07-01-2013,25.9049,30.3477,22.5995,68.1564,11.4906,216.2034
08-01-2013,25.7011,28.7572,23.1493,77.7161,10.6369,96.3563
09-01-2013,25.6745,29.6709,22.6478,73.5031,12.947,145.5702
10-01-2013,25.722,30.6582,21.9191,69.7967,11.9721,235.5601
11-01-2013,24.9511,30.3412,20.8977,68.3887,10.573,244.0786
