Date,block,SSM_m3m3
27-02-17,Ammapettai,0.217168707
28-02-17,Ammapettai,0.206251708
01-03-17,Ammapettai,0.223910408
02-03-17,Ammapettai,0.218350172
03-03-17,Ammapettai,0.191843814
04-03-17,Ammapettai,0.294379898
05-03-17,Ammapettai,0.173898249
06-03-17,Ammapettai,0.173898249
07-03-17,Ammapettai,0.284605762
08-03-17,Ammapettai,0.274838089
09-03-17,Ammapettai,0.220277972
10-03-17,Ammapettai,0.281521368
11-03-17,Ammapettai,0.36175479
12-03-17,Ammapettai,0.457782769
13-03-17,Ammapettai,0.279665896
14-03-17,Ammapettai,0.262241545
15-03-17,Ammapettai,0.238521693
16-03-17,Ammapettai,0.228016672
17-03-17,Ammapettai,0.280116123
18-03-17,Ammapettai,0.293418199
19-03-17,Ammapettai,0.241231205
20-03-17,Ammapettai,0.237780398
21-03-17,Ammapettai,0.307540806
22-03-17,Ammapettai,0.221778694
23-03-17,Ammapettai,0.238061062
24-03-17,Ammapettai,0.25623316
25-03-17,Ammapettai,0.233087596
26-03-17,Ammapettai,0.30686294
27-03-17,Ammapettai,0.230523725
28-03-17,Ammapettai,0.222004329
29-03-17,Ammapettai,0.303919361
30-03-17,Ammapettai,0.211454212
31-03-17,Ammapettai,0.235186322
01-04-17,Ammapettai,0.218209494
02-04-17,Ammapettai,0.192469362
03-04-17,Ammapettai,0.215437794
04-04-17,Ammapettai,0.212737105
05-04-17,Ammapettai,0.21645647
06-04-17,Ammapettai,0.226550927
